run_nr,nr-inputs,firefox-cov,c-cov,javascripturijs-cov,cpp-cov,php-cov,java-cov,go-cov,javascriptwhatwg-url-cov,chromium-cov,python-cov,ruby-cov,firefox-exceptions,C-exceptions,JavaScripturijs-exceptions,Cpp-exceptions,PHP-exceptions,Java-exceptions,Go-exceptions,JavaScriptwhatwg-url-exceptions,chromium-exceptions,Python-exceptions,Ruby-exceptions,eq-success-result,eq-fail-result,neq-result,b-eq-success-result,b-eq-fail-result,b-eq-component-fail-result,b-neq-component-fail-result,b-neq-result,full_execution_time,prep_time,fuzzing_time
0,997,74.7,59.6,30.07,37.3,48.28,39.0,79.4,65.57,51.5,45.0,72.02,7,287,1,7,61,431,44,0,30,0,516,258,0,739,494,0,112,8,383,00:34:38,00:00:00,0:34:34
1,1995,76.2,60.0,30.07,37.9,48.28,39.0,80.1,66.02,52.63,46.0,72.02,12,565,3,16,132,854,83,0,67,1,1007,526,0,1469,1020,0,227,20,728,00:31:49,00:00:00,0:31:44
2,2989,76.2,60.5,30.16,37.9,54.31,39.0,80.1,66.02,52.63,46.0,72.02,19,806,4,20,186,1297,113,0,102,1,1487,805,0,2184,1550,1,311,33,1094,00:30:57,00:00:00,0:30:52
3,3980,76.2,60.6,30.16,37.9,54.31,39.0,80.4,66.02,52.63,47.0,72.02,25,1077,7,24,251,1733,134,0,133,1,1967,1079,0,2901,2089,2,421,42,1426,00:41:20,00:00:00,0:41:13
4,4966,76.2,60.7,30.24,38.1,54.31,39.0,80.6,66.02,52.63,47.0,72.02,28,1351,9,31,319,2195,168,0,179,1,2465,1333,0,3633,2620,2,531,51,1762,01:35:29,00:00:00,1:35:21
5,5948,76.2,60.8,30.24,38.1,54.31,39.0,80.6,66.17,52.82,47.0,72.02,31,1620,13,34,382,2605,192,0,214,1,2952,1618,0,4330,3139,3,635,66,2105,01:01:52,00:00:00,1:01:43
6,6936,76.2,60.8,30.24,38.1,54.31,39.0,80.6,66.17,52.82,47.0,72.02,35,1889,14,37,448,3056,220,0,250,1,3461,1866,0,5070,3654,4,732,86,2460,01:53:21,00:00:00,1:53:11
7,7927,76.2,60.8,30.24,38.1,54.31,39.0,80.6,66.17,52.82,47.0,72.02,39,2161,14,41,507,3454,250,0,276,1,3972,2162,0,5765,4193,5,836,94,2799,01:21:23,00:00:00,1:21:11
8,8909,76.2,60.8,30.24,38.1,54.31,39.0,80.6,66.17,53.57,47.0,72.02,45,2419,15,47,552,3880,276,0,312,1,4478,2416,0,6493,4718,7,925,114,3145,01:55:33,00:00:00,1:55:19
9,9883,76.2,60.8,30.24,38.1,54.31,39.0,81.4,66.17,53.57,47.0,72.02,51,2694,17,54,621,4313,306,0,359,2,4991,2675,0,7208,5220,8,1028,125,3502,02:22:18,00:00:00,2:22:03
