run_nr,nr-inputs,firefox-cov,c-cov,javascripturijs-cov,cpp-cov,php-cov,java-cov,go-cov,javascriptwhatwg-url-cov,chromium-cov,python-cov,ruby-cov,firefox-exceptions,C-exceptions,JavaScripturijs-exceptions,Cpp-exceptions,PHP-exceptions,Java-exceptions,Go-exceptions,JavaScriptwhatwg-url-exceptions,chromium-exceptions,Python-exceptions,Ruby-exceptions,eq-success-result,eq-fail-result,neq-result,b-eq-success-result,b-eq-fail-result,b-eq-component-fail-result,b-neq-component-fail-result,b-neq-result,full_execution_time,prep_time,fuzzing_time
0,1,57.8,15.7,17.59,10.4,30.17,36.0,70.2,27.72,22.18,32.0,63.21,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,00:03:10,00:00:00,0:03:03
1,2,57.8,23.8,22.36,23.0,34.48,38.0,70.2,32.49,33.27,33.0,71.5,1,1,0,0,1,1,0,0,0,0,1,0,0,2,1,0,0,0,1,00:03:11,00:00:00,0:03:04
2,3,61.6,24.3,22.53,23.0,34.48,38.0,71.7,36.36,33.27,33.0,71.5,1,2,0,0,2,1,1,0,0,0,2,0,0,3,1,0,1,0,1,00:03:07,00:00:00,0:03:00
3,4,66.6,31.9,23.05,24.8,38.79,38.0,71.9,41.28,37.41,33.0,71.5,1,3,0,0,2,2,1,0,0,0,3,0,0,4,1,0,1,0,2,00:03:09,00:00:00,0:03:02
4,5,66.6,39.8,23.4,26.6,38.79,38.0,72.9,47.99,42.29,33.0,71.5,1,3,0,0,2,3,1,0,0,0,4,0,0,5,1,0,1,0,3,00:03:06,00:00:00,0:02:59
5,6,66.6,39.8,23.74,26.6,38.79,38.0,72.9,49.48,42.29,38.0,71.5,1,3,0,0,3,3,2,0,0,0,5,0,0,6,1,0,2,0,3,00:03:05,00:00:00,0:02:59
6,7,66.6,40.1,23.74,26.6,38.79,38.0,72.9,49.48,42.29,38.0,71.5,1,4,0,0,3,4,2,0,0,0,6,0,0,7,2,0,2,0,3,00:03:13,00:00:00,0:03:06
7,8,66.6,40.1,24.87,26.6,38.79,38.0,72.9,49.48,42.29,38.0,71.5,1,5,0,0,3,5,2,0,0,0,7,0,0,8,2,0,2,0,4,00:03:11,00:00:00,0:03:05
8,9,66.6,40.1,24.87,26.6,43.1,38.0,72.9,49.48,42.29,40.0,71.5,1,6,0,0,3,5,2,0,0,0,8,0,0,9,2,0,2,0,5,00:03:14,00:00:00,0:03:07
9,10,70.6,41.4,25.39,27.8,44.83,38.0,72.9,52.46,47.18,40.0,71.5,1,6,0,0,3,6,2,0,0,0,8,0,0,10,3,0,2,0,5,00:03:09,00:00:00,0:03:03
10,11,70.6,42.0,25.39,27.8,45.69,38.0,73.4,52.91,47.18,40.0,71.5,1,7,0,0,3,6,2,0,0,0,9,0,0,11,4,0,2,0,5,00:03:09,00:00:00,0:03:03
11,12,70.6,42.4,25.39,27.8,45.69,38.0,73.4,53.8,47.18,40.0,71.5,1,7,0,0,3,7,2,0,0,0,10,0,0,12,4,0,2,0,6,00:03:13,00:00:00,0:03:06
12,13,70.6,43.0,25.39,27.8,45.69,38.0,73.4,54.55,47.18,40.0,71.5,1,7,0,0,3,7,2,0,0,0,11,0,0,13,4,0,2,0,7,00:03:09,00:00:00,0:03:03
13,14,70.6,43.0,25.48,27.8,45.69,38.0,73.4,54.55,47.18,43.0,71.5,1,8,0,0,3,7,2,0,0,0,12,0,0,14,5,0,2,0,7,00:02:58,00:00:00,0:02:52
14,15,70.6,43.0,25.48,27.8,45.69,38.0,73.4,54.55,47.18,43.0,72.02,1,8,0,0,3,7,2,0,0,0,12,1,0,14,6,0,2,0,7,00:02:52,00:00:00,0:02:47
15,16,70.6,43.0,25.48,27.8,45.69,38.0,73.4,54.55,47.18,43.0,72.02,1,8,0,0,3,7,2,0,0,0,12,2,0,14,7,0,2,0,7,00:02:49,00:00:00,0:02:42
16,17,70.6,44.7,25.48,27.8,47.41,38.0,73.4,55.14,47.18,43.0,72.02,1,8,0,0,3,8,2,0,1,0,12,2,0,15,7,0,2,0,8,00:02:53,00:00:00,0:02:46
17,18,70.6,45.1,25.48,30.2,47.41,38.0,73.8,55.29,47.18,43.0,72.02,1,9,0,0,3,8,2,0,1,0,13,2,0,16,8,0,2,0,8,00:02:56,00:00:00,0:02:49
