Run,firefox,chromium,c,cpp,go,java,javascripturijs,javascriptwhatwg-url,php,python,ruby
0,64.7,40.04,44.8,32.3,73.4,38.0,26.52,52.16,39.66,38.0,72.02
1,67.2,42.11,47.1,34.1,73.4,38.0,27.38,57.53,39.66,42.0,72.02
2,67.2,42.11,47.3,34.5,73.6,38.0,27.38,58.72,39.66,42.0,72.02
3,67.2,42.11,49.2,34.6,73.6,38.0,27.38,58.72,39.66,42.0,72.02
4,67.2,42.11,50.7,34.6,74.8,38.0,27.38,58.72,39.66,44.0,72.02
5,67.2,42.11,50.7,34.8,74.8,38.0,27.73,58.72,39.66,44.0,72.02
6,67.2,42.11,50.7,34.8,75.8,38.0,27.73,58.72,41.38,44.0,72.02
7,67.2,43.23,51.2,34.8,75.8,38.0,27.73,60.51,41.38,44.0,72.02
8,67.2,43.23,51.2,34.8,75.8,38.0,27.73,60.51,41.38,44.0,72.02
9,67.2,43.23,51.6,34.8,75.8,38.0,27.73,60.51,41.38,44.0,72.02
10,67.2,44.74,51.6,34.8,75.8,38.0,27.73,60.51,41.38,44.0,72.02
11,67.2,44.74,51.6,34.8,75.8,38.0,27.73,60.51,41.38,44.0,72.02
12,67.8,45.11,51.6,34.8,75.8,38.0,27.73,60.66,41.38,44.0,72.02
13,67.8,45.11,51.6,34.8,75.8,38.0,27.73,60.66,41.38,44.0,72.02
14,67.8,45.11,51.6,34.8,75.8,38.0,27.73,60.66,41.38,44.0,72.02
15,68.1,45.11,51.6,34.8,75.8,38.0,27.73,60.66,41.38,44.0,72.02
16,68.1,45.11,52.0,34.8,75.8,38.0,27.73,60.66,41.38,44.0,72.02
17,68.1,45.11,52.1,34.8,76.8,38.0,27.9,60.66,41.38,44.0,72.02
18,68.1,45.11,52.1,34.8,76.8,38.0,27.9,60.66,41.38,44.0,72.02
19,68.1,45.11,52.1,34.8,76.8,38.0,27.9,60.66,41.38,44.0,72.02
20,68.1,46.43,53.0,36.1,77.2,38.0,28.16,61.55,41.38,44.0,72.02
21,68.1,46.43,53.0,36.1,77.2,38.0,28.16,61.55,41.38,44.0,72.02
22,68.1,46.43,53.0,36.1,77.2,38.0,28.16,61.55,41.38,44.0,72.02
23,68.1,46.43,53.0,36.1,77.2,38.0,28.16,61.55,41.38,44.0,72.02
24,68.1,46.43,53.0,36.1,77.2,38.0,28.16,61.55,41.38,44.0,72.02
25,68.1,46.43,53.1,36.1,77.2,38.0,28.16,61.7,41.38,44.0,72.02
26,69.7,46.43,53.6,36.1,77.2,39.0,29.29,61.7,41.38,45.0,72.02
27,69.7,46.43,53.6,36.1,77.2,39.0,29.29,61.7,41.38,45.0,72.02
28,69.7,46.43,53.6,36.1,77.2,39.0,29.29,61.7,41.38,45.0,72.02
29,69.7,46.43,53.6,36.1,77.2,39.0,29.29,61.7,41.38,45.0,72.02
30,69.7,46.43,53.6,36.1,77.2,39.0,29.29,61.7,41.38,45.0,72.02
31,69.7,46.43,53.6,36.1,77.2,39.0,29.29,61.7,41.38,45.0,72.02
32,69.7,46.43,53.6,36.1,77.2,39.0,29.29,61.7,41.38,45.0,72.02
33,69.7,46.43,53.6,36.1,77.2,39.0,29.29,61.7,41.38,45.0,72.02
34,69.7,46.43,53.6,36.1,77.2,39.0,29.29,61.7,41.38,45.0,72.02
35,69.7,46.43,53.8,36.1,77.2,39.0,29.38,61.7,50.0,45.0,72.02
36,69.7,46.43,53.8,36.1,77.2,39.0,29.38,61.7,50.0,45.0,72.02
37,69.7,46.43,53.8,36.1,77.2,39.0,29.38,61.7,50.0,45.0,72.02
38,69.7,46.43,53.8,36.1,77.2,39.0,29.38,61.7,50.0,45.0,72.02
39,69.7,46.43,54.0,36.1,77.2,39.0,29.38,61.7,50.0,45.0,72.02
40,69.7,46.43,54.0,36.1,77.2,39.0,29.38,61.7,50.0,45.0,72.02
41,69.7,46.43,54.0,36.1,77.2,39.0,29.38,61.7,50.0,45.0,72.02
42,70.3,46.62,54.4,36.1,78.0,39.0,29.46,61.85,50.0,46.0,72.02
43,70.3,46.62,54.4,36.1,78.0,39.0,29.46,61.85,50.0,46.0,72.02
44,70.3,46.62,54.4,36.1,78.2,39.0,29.46,61.85,50.0,46.0,72.02
45,70.3,46.62,54.7,36.1,78.2,39.0,29.46,61.85,50.0,46.0,72.02
46,70.3,46.62,54.7,36.1,78.2,39.0,29.46,61.85,50.0,46.0,72.02
47,70.3,46.62,54.7,36.1,78.2,39.0,29.46,61.85,50.0,46.0,72.02
48,70.3,46.62,54.7,36.1,78.2,39.0,29.46,61.85,50.0,46.0,72.02
49,70.3,46.62,54.7,36.1,78.2,39.0,29.46,61.85,51.72,46.0,72.02
50,70.9,46.62,54.9,36.1,78.2,39.0,29.46,61.85,51.72,46.0,72.02
51,70.9,46.62,54.9,36.1,78.2,39.0,29.46,61.85,51.72,46.0,72.02
52,70.9,46.62,54.9,36.1,78.2,39.0,29.46,61.85,51.72,46.0,72.02
53,70.9,52.26,56.2,36.1,78.2,39.0,29.98,64.83,53.45,46.0,72.02
54,70.9,52.26,56.2,36.1,78.2,39.0,29.98,64.83,53.45,46.0,72.02
