Run,firefox,chromium,c,cpp,go,java,javascripturijs,javascriptwhatwg-url,php,python,ruby
0,48.1,13.72,27.7,17.1,68.5,36.0,18.2,30.7,42.24,32.0,68.91
1,48.1,13.72,31.5,17.1,68.5,36.0,18.2,30.7,46.55,32.0,68.91
2,48.1,13.72,35.0,17.2,68.5,36.0,18.2,31.45,46.55,33.0,68.91
3,48.1,13.72,35.8,17.2,68.5,36.0,18.2,34.28,46.55,33.0,68.91
4,48.1,13.72,36.4,17.2,68.5,36.0,18.2,34.28,46.55,33.0,68.91
5,48.1,13.72,39.4,17.2,70.9,36.0,18.63,34.28,48.28,33.0,68.91
6,48.1,13.72,39.4,17.2,70.9,36.0,18.63,34.28,48.28,33.0,68.91
7,48.1,14.85,39.7,17.2,70.9,36.0,18.63,36.21,48.28,33.0,68.91
8,48.1,16.17,41.6,19.6,71.4,36.0,18.8,37.11,48.28,33.0,68.91
9,48.1,16.17,41.6,19.6,71.9,36.0,18.8,37.11,48.28,33.0,68.91
10,48.1,16.17,41.8,19.6,71.9,36.0,18.8,37.11,57.76,33.0,68.91
11,48.1,16.17,44.1,20.5,71.9,36.0,18.8,37.7,57.76,33.0,68.91
12,48.1,16.17,44.1,20.5,71.9,36.0,18.8,37.7,57.76,33.0,68.91
13,48.1,16.17,44.1,20.5,71.9,36.0,18.8,37.7,57.76,33.0,68.91
14,48.1,16.17,48.3,20.5,71.9,36.0,18.8,37.7,58.62,34.0,68.91
15,48.1,16.17,48.3,20.5,71.9,36.0,18.8,37.7,58.62,34.0,68.91
16,48.1,16.17,48.3,20.5,71.9,36.0,18.8,37.7,58.62,34.0,68.91
17,48.1,16.17,48.3,20.5,71.9,36.0,18.8,37.7,58.62,34.0,68.91
18,48.1,16.17,48.3,20.5,71.9,36.0,18.8,37.7,58.62,34.0,68.91
19,48.1,16.17,48.3,20.8,71.9,36.0,18.8,38.9,58.62,34.0,68.91
20,48.1,16.17,48.3,20.8,71.9,36.0,18.8,38.9,58.62,34.0,68.91
21,48.1,16.17,48.3,20.8,71.9,36.0,18.8,38.9,58.62,34.0,68.91
22,48.1,16.17,48.3,20.8,71.9,36.0,18.8,38.9,58.62,34.0,68.91
23,48.1,16.17,48.3,20.8,71.9,36.0,18.8,38.9,58.62,34.0,68.91
24,48.1,16.17,48.5,20.8,71.9,36.0,18.8,38.9,58.62,34.0,68.91
25,48.1,16.17,48.5,20.8,71.9,36.0,18.8,38.9,58.62,34.0,68.91
26,48.1,16.17,48.7,20.8,73.1,36.0,18.8,38.9,58.62,34.0,68.91
27,48.1,16.17,48.8,20.8,73.1,36.0,18.8,38.9,58.62,34.0,68.91
28,48.1,16.17,48.8,20.8,73.1,36.0,18.8,38.9,58.62,34.0,68.91
29,48.1,16.17,48.8,20.8,73.1,36.0,18.8,38.9,58.62,34.0,68.91
30,48.1,16.17,48.8,20.8,73.1,36.0,18.8,38.9,58.62,34.0,68.91
31,48.1,16.17,48.8,20.8,73.1,36.0,18.8,38.9,58.62,34.0,68.91
32,48.1,16.17,48.8,20.8,73.1,36.0,18.8,38.9,58.62,34.0,68.91
33,48.1,16.17,48.8,20.8,73.1,36.0,18.8,39.64,58.62,34.0,68.91
34,48.1,16.17,48.8,20.8,73.1,36.0,18.8,39.64,58.62,34.0,68.91
35,48.1,16.17,48.8,20.8,73.1,36.0,18.8,39.64,58.62,34.0,68.91
36,48.1,16.17,48.8,20.8,73.1,36.0,18.8,39.64,58.62,34.0,68.91
37,48.1,16.17,48.8,20.8,73.4,36.0,18.8,39.64,58.62,34.0,68.91
38,48.1,16.17,48.8,20.8,73.4,36.0,18.8,39.64,58.62,34.0,68.91
39,48.1,16.17,48.8,20.8,73.4,36.0,18.8,39.79,58.62,34.0,68.91
40,48.1,16.17,48.8,20.8,73.4,36.0,18.8,39.79,58.62,34.0,68.91
41,48.1,16.17,48.8,20.8,73.4,36.0,18.8,39.79,58.62,34.0,68.91
42,48.1,16.17,48.8,20.8,73.4,36.0,18.8,39.79,58.62,34.0,68.91
43,48.1,16.17,48.8,20.8,73.4,36.0,18.8,39.79,58.62,34.0,68.91
44,48.1,16.17,48.8,20.8,73.4,36.0,18.8,39.79,58.62,34.0,68.91
45,48.1,16.17,48.8,20.8,73.4,36.0,18.8,39.79,58.62,34.0,68.91
46,48.1,16.17,48.8,20.8,73.4,36.0,18.8,39.79,58.62,34.0,68.91
47,48.1,16.35,48.8,20.8,73.4,36.0,18.8,39.79,58.62,34.0,68.91
48,48.1,16.35,48.8,20.8,73.4,36.0,18.8,39.79,58.62,34.0,68.91
49,48.1,16.35,48.8,20.8,73.4,36.0,18.8,39.79,58.62,34.0,68.91
50,48.1,16.35,48.8,20.8,73.4,36.0,18.8,39.79,58.62,34.0,68.91
51,48.1,16.35,48.8,20.8,73.4,36.0,18.8,39.79,58.62,34.0,68.91
52,48.1,16.35,48.8,20.8,73.4,36.0,18.8,39.79,58.62,34.0,68.91
53,48.1,16.35,48.8,20.8,73.4,36.0,18.8,39.79,58.62,34.0,68.91
54,48.1,16.35,48.8,20.8,73.4,36.0,18.8,39.79,58.62,34.0,68.91
55,48.1,16.35,48.8,20.8,73.4,36.0,18.8,39.79,58.62,34.0,68.91
56,48.1,16.35,48.8,20.8,73.4,36.0,18.8,39.79,58.62,34.0,68.91
57,48.1,16.35,48.8,20.8,73.4,36.0,18.8,39.79,58.62,34.0,68.91
58,48.1,16.35,48.8,20.8,73.4,36.0,18.8,39.79,58.62,34.0,68.91
59,48.1,16.35,48.8,20.8,73.4,36.0,18.8,39.79,58.62,34.0,68.91
60,48.1,16.35,48.8,20.8,73.4,36.0,18.8,39.79,58.62,34.0,68.91
61,48.1,16.35,48.8,20.8,73.4,36.0,18.8,39.79,58.62,34.0,68.91
62,48.1,16.35,48.8,20.8,73.4,36.0,18.8,39.79,58.62,34.0,68.91
63,48.1,16.35,48.8,20.8,73.4,36.0,18.8,39.79,58.62,34.0,68.91
64,48.1,16.35,48.8,20.8,73.4,36.0,18.8,39.79,58.62,34.0,68.91
65,48.1,16.35,48.8,20.8,73.4,36.0,18.8,39.79,58.62,34.0,68.91
66,48.1,16.35,48.8,20.8,73.4,36.0,18.8,39.79,58.62,34.0,68.91
67,48.1,16.35,48.8,20.8,74.8,36.0,18.8,39.79,58.62,34.0,68.91
68,48.1,16.35,48.8,20.8,74.8,36.0,18.8,39.79,58.62,34.0,68.91
69,48.1,16.35,48.8,20.8,74.8,36.0,18.8,39.79,58.62,34.0,68.91
70,48.1,16.35,48.8,20.8,74.8,36.0,18.8,39.79,58.62,34.0,68.91
71,48.1,16.35,48.8,20.8,74.8,36.0,18.8,39.79,58.62,34.0,68.91
