run_nr,nr_inputs,chromium_success-firefox_success,chromium_reject-firefox_reject
0,1,1,0
1,2,1,1.0
2,3,1,2.0
3,4,2,2.0
4,5,3,2.0
5,6,4,2.0
6,7,5,2.0
7,8,6,2.0
8,9,6,3.0
9,10,6,4.0
10,11,6,5.0
11,12,7,5.0
12,13,7,6.0
13,14,7,7.0
14,15,7,8.0
15,16,7,9.0
16,17,7,10.0
17,18,8,10.0
18,19,8,11.0
19,20,9,11.0
20,21,9,12.0
21,22,9,13.0
22,23,10,13.0
23,24,11,13.0
24,25,11,14.0
25,26,12,14.0
26,27,13,14.0
27,28,13,15.0
28,29,13,16.0
29,30,13,17.0
30,31,13,18.0
31,32,13,19.0
32,33,13,20.0
33,34,13,21.0
34,35,14,21.0
35,36,14,22.0
36,37,14,23.0
37,38,14,24.0
38,39,14,25.0
39,40,14,26.0
40,41,14,27.0
41,42,15,27.0
42,43,16,27.0
43,44,17,27.0
44,45,17,28.0
45,46,17,29.0
46,47,18,29.0
47,48,18,30.0
48,49,19,30.0
49,50,19,31.0
50,51,20,31.0
51,52,20,32.0
52,53,20,33.0
53,54,20,34.0
54,55,20,35.0
55,56,20,36.0
56,57,20,37.0
57,58,20,38.0
58,59,20,39.0
59,60,20,40.0
60,61,21,40.0
61,62,22,40.0
62,63,23,40.0
63,64,24,40.0
64,65,25,40.0
65,66,25,41.0
66,67,26,41.0
67,68,26,42.0
68,69,26,43.0
69,70,26,44.0
70,71,26,45.0
71,72,27,45.0
72,73,28,45.0
73,74,28,46.0
74,75,28,47.0
75,76,28,48.0
