run_nr,nr_inputs,chromium_success-firefox_success,chromium_reject-firefox_path,chromium_success-firefox_host,chromium_host-firefox_host,chromium_reject-firefox_host,chromium_success-firefox_path,chromium_host-firefox_success,chromium_host-firefox_path
0,1,1,0,0,0,0,0,0,0
1,2,2,0,0,0,0,0,0,0
2,3,3,0,0,0,0,0,0,0
3,4,4,0,0,0,0,0,0,0
4,5,4,1.0,0,0,0,0,0,0
5,6,4,1.0,1.0,0,0,0,0,0
6,7,4,1.0,1.0,1.0,0,0,0,0
7,8,5,1.0,1.0,1.0,0,0,0,0
8,9,5,1.0,2.0,1.0,0,0,0,0
9,10,6,1.0,2.0,1.0,0,0,0,0
10,11,7,1.0,2.0,1.0,0,0,0,0
11,12,7,1.0,2.0,2.0,0,0,0,0
12,13,7,1.0,3.0,2.0,0,0,0,0
13,14,8,1.0,3.0,2.0,0,0,0,0
14,15,9,1.0,3.0,2.0,0,0,0,0
15,16,9,1.0,3.0,2.0,1.0,0,0,0
16,17,9,1.0,4.0,2.0,1.0,0,0,0
17,18,10,1.0,4.0,2.0,1.0,0,0,0
18,19,10,1.0,4.0,2.0,2.0,0,0,0
19,20,11,1.0,4.0,2.0,2.0,0,0,0
20,21,12,1.0,4.0,2.0,2.0,0,0,0
21,22,12,1.0,5.0,2.0,2.0,0,0,0
22,23,13,1.0,5.0,2.0,2.0,0,0,0
23,24,14,1.0,5.0,2.0,2.0,0,0,0
24,25,15,1.0,5.0,2.0,2.0,0,0,0
25,26,15,1.0,5.0,2.0,2.0,1.0,0,0
26,27,16,1.0,5.0,2.0,2.0,1.0,0,0
27,28,17,1.0,5.0,2.0,2.0,1.0,0,0
28,29,18,1.0,5.0,2.0,2.0,1.0,0,0
29,30,18,1.0,6.0,2.0,2.0,1.0,0,0
30,31,18,1.0,7.0,2.0,2.0,1.0,0,0
31,32,19,1.0,7.0,2.0,2.0,1.0,0,0
32,33,19,1.0,8.0,2.0,2.0,1.0,0,0
33,34,20,1.0,8.0,2.0,2.0,1.0,0,0
34,35,21,1.0,8.0,2.0,2.0,1.0,0,0
35,36,22,1.0,8.0,2.0,2.0,1.0,0,0
36,37,22,1.0,8.0,2.0,2.0,1.0,1.0,0
37,38,22,1.0,8.0,2.0,2.0,1.0,1.0,1.0
38,39,22,1.0,9.0,2.0,2.0,1.0,1.0,1.0
39,40,22,1.0,10.0,2.0,2.0,1.0,1.0,1.0
40,41,22,1.0,10.0,3.0,2.0,1.0,1.0,1.0
41,42,23,1.0,10.0,3.0,2.0,1.0,1.0,1.0
42,43,24,1.0,10.0,3.0,2.0,1.0,1.0,1.0
43,44,25,1.0,10.0,3.0,2.0,1.0,1.0,1.0
44,45,25,1.0,11.0,3.0,2.0,1.0,1.0,1.0
45,46,26,1.0,11.0,3.0,2.0,1.0,1.0,1.0
46,47,26,2.0,11.0,3.0,2.0,1.0,1.0,1.0
47,48,26,2.0,11.0,3.0,3.0,1.0,1.0,1.0
48,49,27,2.0,11.0,3.0,3.0,1.0,1.0,1.0
49,50,28,2.0,11.0,3.0,3.0,1.0,1.0,1.0
50,51,29,2.0,11.0,3.0,3.0,1.0,1.0,1.0
51,52,29,2.0,11.0,3.0,4.0,1.0,1.0,1.0
52,53,30,2.0,11.0,3.0,4.0,1.0,1.0,1.0
53,54,31,2.0,11.0,3.0,4.0,1.0,1.0,1.0
54,55,31,2.0,12.0,3.0,4.0,1.0,1.0,1.0
