run_nr,nr-inputs,firefox-cov,c-cov,javascripturijs-cov,cpp-cov,php-cov,java-cov,go-cov,javascriptwhatwg-url-cov,chromium-cov,python-cov,ruby-cov,firefox-exceptions,C-exceptions,JavaScripturijs-exceptions,Cpp-exceptions,PHP-exceptions,Java-exceptions,Go-exceptions,JavaScriptwhatwg-url-exceptions,chromium-exceptions,Python-exceptions,Ruby-exceptions,eq-success-result,eq-fail-result,neq-result,b-eq-success-result,b-eq-fail-result,b-eq-component-fail-result,b-neq-component-fail-result,b-neq-result,full_execution_time,prep_time,fuzzing_time
0,1,54.1,21.8,17.07,10.6,33.62,37.0,66.3,31.3,21.62,32.0,66.84,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,00:01:59,00:00:00,0:01:56
1,2,54.1,29.5,21.84,26.8,33.62,37.0,66.3,36.07,32.71,33.0,70.98,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,00:01:48,00:00:00,0:01:45
2,3,55.0,33.5,21.92,26.8,33.62,38.0,66.3,37.41,33.27,35.0,70.98,0,1,0,0,0,2,0,0,0,0,1,0,0,3,3,0,0,0,0,00:01:44,00:00:00,0:01:41
3,4,55.0,33.8,22.27,26.9,33.62,38.0,66.3,37.56,33.27,40.0,71.5,0,1,0,0,0,2,0,0,0,0,1,1,0,3,4,0,0,0,0,00:01:44,00:00:00,0:01:41
4,5,55.0,34.2,23.14,26.9,34.48,38.0,66.8,39.2,38.16,40.0,71.5,0,2,0,0,0,3,0,0,1,0,2,1,0,4,4,0,0,0,1,00:01:53,00:00:00,0:01:50
5,6,59.1,34.2,23.22,28.0,34.48,38.0,67.6,43.96,38.16,40.0,72.02,0,2,0,0,0,3,0,0,1,0,3,1,0,5,4,0,0,0,2,00:01:52,00:00:00,0:01:49
6,7,59.4,34.2,23.22,28.0,38.79,38.0,69.0,48.44,38.16,40.0,72.02,0,3,0,0,1,3,1,0,1,0,4,1,0,6,4,0,1,0,2,00:01:49,00:00:00,0:01:46
7,8,59.4,35.0,23.22,28.0,38.79,38.0,69.0,48.44,38.16,40.0,72.02,0,3,0,0,1,4,1,0,1,0,4,1,0,7,5,0,1,0,2,00:01:55,00:00:00,0:01:52
8,9,59.4,35.0,23.22,28.2,43.1,38.0,69.0,48.44,38.16,42.0,72.02,0,4,0,0,1,4,1,0,1,0,5,1,0,8,5,0,1,0,3,00:01:44,00:00:00,0:01:41
9,10,59.4,35.0,23.22,28.2,43.1,38.0,69.0,48.44,38.16,42.0,72.02,0,4,0,0,1,5,1,0,1,0,5,1,0,9,6,0,1,0,3,00:01:50,00:00:00,0:01:47
10,11,60.9,36.6,23.4,29.4,43.1,39.0,69.5,49.33,39.47,42.0,72.02,0,4,0,0,2,5,1,0,1,0,5,1,0,10,7,0,1,0,3,00:01:57,00:00:00,0:01:54
11,12,60.9,36.6,23.4,29.4,43.1,39.0,69.5,49.63,39.47,42.0,72.02,0,4,0,0,2,6,1,0,1,0,5,1,0,11,7,0,2,0,3,00:01:56,00:00:00,0:01:53
12,13,60.9,36.6,23.4,29.4,43.1,39.0,69.5,49.63,39.47,42.0,72.02,0,4,0,0,2,6,1,0,1,0,5,2,0,11,7,0,2,0,4,00:02:00,00:00:00,0:01:57
13,14,60.9,36.6,23.4,29.4,43.1,39.0,69.5,49.63,39.47,42.0,72.02,0,4,0,0,2,7,1,0,1,0,5,2,0,12,8,0,2,0,4,00:01:50,00:00:00,0:01:46
14,15,60.9,36.6,23.4,29.4,43.1,39.0,69.5,49.63,39.47,42.0,72.02,0,4,0,0,3,7,1,0,1,0,5,2,0,13,9,0,2,0,4,00:01:51,00:00:00,0:01:48
15,16,60.9,36.6,23.48,29.4,43.1,39.0,69.5,49.63,39.47,43.0,72.02,0,5,0,0,4,8,2,0,2,0,6,2,0,14,9,0,2,0,5,00:01:42,00:00:00,0:01:39
16,17,60.9,36.6,23.48,29.4,43.1,39.0,69.7,49.63,39.47,43.0,72.02,0,5,0,0,4,8,2,0,2,0,7,2,0,15,9,0,2,0,6,00:01:41,00:00:00,0:01:37
17,18,60.9,36.6,23.48,29.4,43.1,39.0,69.7,49.63,39.47,43.0,72.02,0,5,0,0,4,8,2,0,2,0,7,3,0,15,10,0,2,0,6,00:01:46,00:00:00,0:01:42
18,19,60.9,36.6,23.48,29.4,43.1,39.0,69.7,49.63,39.47,43.0,72.02,0,5,0,0,4,9,2,0,3,0,7,3,0,16,10,0,2,0,7,00:01:43,00:00:00,0:01:40
19,20,60.9,36.8,26.69,33.6,43.1,39.0,69.7,52.16,39.47,43.0,72.02,0,6,0,0,4,9,2,0,3,0,8,3,0,17,11,0,2,0,7,00:01:40,00:00:00,0:01:37
20,21,60.9,36.8,26.69,33.6,43.1,39.0,69.7,52.16,39.47,43.0,72.02,0,6,0,0,4,10,2,0,3,0,8,3,0,18,12,0,2,0,7,00:01:43,00:00:00,0:01:40
21,22,60.9,36.8,26.69,33.6,43.1,39.0,69.7,52.16,39.47,43.0,72.02,0,6,0,0,4,10,2,0,3,0,8,4,0,18,12,0,2,0,8,00:01:43,00:00:00,0:01:40
22,23,60.9,36.8,26.69,33.6,43.1,39.0,69.7,53.06,39.47,43.0,72.02,0,6,0,0,4,10,2,0,3,0,8,5,0,18,13,0,2,0,8,00:01:40,00:00:01,0:01:36
23,24,60.9,36.8,26.78,33.6,43.1,39.0,69.7,53.35,39.47,43.0,72.02,0,6,0,0,4,10,2,0,3,0,8,6,0,18,14,0,2,0,8,00:01:37,00:00:00,0:01:34
24,25,60.9,39.1,27.12,33.9,43.1,39.0,69.7,55.44,39.47,43.0,72.02,0,6,0,0,4,11,2,0,3,0,8,6,0,19,15,0,2,0,8,00:01:49,00:00:00,0:01:46
25,26,60.9,39.1,27.12,33.9,43.1,39.0,69.7,55.59,39.47,43.0,72.02,0,6,0,0,4,11,2,0,3,0,8,7,0,19,15,0,2,0,9,00:01:33,00:00:00,0:01:30
26,27,60.9,39.1,27.12,33.9,43.1,39.0,69.7,55.59,39.47,43.0,72.02,0,6,0,0,4,11,2,0,3,0,8,8,0,19,16,0,2,0,9,00:01:26,00:00:00,0:01:23
27,28,60.9,39.6,27.12,33.9,43.1,39.0,69.7,55.59,39.47,43.0,72.02,0,7,0,0,4,11,2,0,3,0,9,8,0,20,17,0,2,0,9,00:01:26,00:00:00,0:01:23
28,29,60.9,43.2,27.12,33.9,44.83,39.0,69.7,55.59,39.47,43.0,72.02,0,7,0,0,5,12,2,0,3,0,9,8,0,21,18,0,2,0,9,00:01:31,00:00:00,0:01:28
29,30,60.9,43.2,27.12,33.9,44.83,39.0,69.7,55.59,39.47,43.0,72.02,0,8,0,0,5,12,2,0,3,0,10,8,0,22,18,0,2,0,10,00:01:28,00:00:00,0:01:25
30,31,60.9,43.5,27.12,33.9,44.83,39.0,69.7,57.38,39.47,43.0,72.02,0,8,0,0,5,12,2,0,3,0,10,9,0,22,18,0,2,0,11,00:01:33,00:00:00,0:01:30
31,32,60.9,43.5,27.12,33.9,44.83,39.0,69.7,57.68,39.66,43.0,72.02,0,8,0,0,5,12,2,0,3,0,11,9,0,23,19,0,2,0,11,00:01:28,00:00:00,0:01:24
32,33,60.9,43.6,27.12,33.9,44.83,39.0,69.7,57.68,39.66,43.0,72.02,0,8,0,0,5,12,2,0,3,0,12,9,0,24,19,0,2,0,12,00:01:30,00:00:00,0:01:27
33,34,60.9,43.6,27.12,33.9,44.83,39.0,69.7,57.68,39.66,43.0,72.02,0,8,0,0,5,12,2,0,3,0,12,10,0,24,20,0,2,0,12,00:01:30,00:00:00,0:01:27
34,35,60.9,43.6,27.12,33.9,44.83,39.0,69.7,57.68,39.66,43.0,72.02,0,8,0,0,5,12,2,0,3,0,12,11,0,24,21,0,2,0,12,00:01:30,00:00:00,0:01:27
35,36,60.9,43.8,27.12,33.9,44.83,39.0,69.7,57.68,39.66,43.0,72.02,0,9,0,0,5,13,2,0,3,0,13,11,0,25,22,0,2,0,12,00:01:29,00:00:00,0:01:26
36,37,60.9,43.8,27.12,33.9,44.83,39.0,69.7,57.68,39.66,43.0,72.02,0,9,0,0,5,13,2,0,3,0,13,12,0,25,22,0,2,0,13,00:01:32,00:00:00,0:01:28
37,38,60.9,43.8,27.12,33.9,44.83,39.0,69.7,57.68,41.35,43.0,72.02,0,9,0,0,5,14,2,0,3,0,13,12,0,26,22,0,2,1,13,00:01:31,00:00:00,0:01:28
38,39,60.9,43.8,27.12,33.9,44.83,39.0,69.7,57.68,41.35,43.0,72.02,0,9,0,0,5,15,2,0,3,0,14,12,0,27,22,0,2,1,14,00:01:30,00:00:00,0:01:27
39,40,60.9,43.8,27.12,33.9,44.83,39.0,69.7,57.68,41.35,43.0,72.02,0,9,0,0,5,16,2,0,3,0,15,12,0,28,22,0,2,1,15,00:01:32,00:00:00,0:01:29
40,41,60.9,43.8,27.12,33.9,44.83,39.0,69.7,57.68,41.35,43.0,72.02,0,9,0,0,5,16,2,0,3,0,15,13,0,28,22,0,3,1,15,00:01:35,00:00:00,0:01:32
41,42,60.9,43.8,27.12,33.9,44.83,39.0,69.7,57.68,41.35,43.0,72.02,0,9,0,0,5,17,2,0,3,0,15,13,0,29,23,0,3,1,15,00:01:30,00:00:00,0:01:27
42,43,60.9,43.8,27.12,33.9,44.83,39.0,69.7,57.68,41.35,43.0,72.02,0,9,0,0,5,17,2,0,3,0,16,13,0,30,24,0,3,1,15,00:01:30,00:00:00,0:01:27
43,44,60.9,43.8,27.12,33.9,44.83,39.0,69.7,57.68,41.35,43.0,72.02,0,10,0,0,5,18,2,0,3,0,17,13,0,31,25,0,3,1,15,00:01:30,00:00:00,0:01:27
44,45,60.9,43.8,27.12,33.9,44.83,39.0,69.7,57.68,41.35,43.0,72.02,0,10,0,0,5,19,2,0,3,0,18,13,0,32,25,0,3,1,16,00:01:31,00:00:00,0:01:28
45,46,60.9,44.0,27.12,33.9,44.83,39.0,69.7,57.68,41.35,43.0,72.02,0,11,0,0,6,19,2,0,3,0,19,13,0,33,26,0,3,1,16,00:01:31,00:00:00,0:01:28
46,47,60.9,44.0,27.12,33.9,44.83,39.0,69.7,57.68,41.35,43.0,72.02,0,12,0,0,6,20,2,0,4,0,20,13,0,34,26,0,3,1,17,00:01:30,00:00:00,0:01:27
47,48,60.9,44.0,27.12,33.9,44.83,39.0,69.7,57.68,41.35,43.0,72.02,0,12,0,0,6,20,2,0,5,0,20,13,0,35,26,0,3,1,18,00:01:30,00:00:00,0:01:27
48,49,60.9,44.0,27.12,33.9,44.83,39.0,69.7,57.68,41.35,43.0,72.02,0,12,0,0,6,21,2,0,5,0,21,13,0,36,27,0,3,1,18,00:01:33,00:00:00,0:01:30
49,50,60.9,44.0,27.12,33.9,44.83,39.0,69.7,57.68,41.35,43.0,72.02,0,12,0,0,6,21,2,0,5,0,21,14,0,36,28,0,3,1,18,00:01:29,00:00:00,0:01:25
50,51,60.9,44.0,27.12,33.9,44.83,39.0,69.7,57.68,41.35,43.0,72.02,0,12,0,0,6,22,2,0,5,0,21,14,0,37,29,0,3,1,18,00:01:31,00:00:00,0:01:28
51,52,60.9,44.0,27.12,33.9,44.83,39.0,69.7,57.68,41.35,43.0,72.02,0,12,0,0,6,23,2,0,6,0,21,14,0,38,29,0,3,1,19,00:01:30,00:00:00,0:01:27
52,53,60.9,44.0,27.12,33.9,44.83,39.0,69.7,57.68,41.35,43.0,72.02,0,12,0,0,6,23,2,0,6,0,21,15,0,38,30,0,3,1,19,00:01:32,00:00:00,0:01:29
53,54,62.5,45.3,28.42,35.0,44.83,39.0,69.7,59.61,42.48,43.0,72.02,0,13,0,0,6,24,2,0,6,0,22,15,0,39,31,0,3,1,19,00:01:35,00:00:00,0:01:32
54,55,62.5,45.3,28.42,35.0,44.83,39.0,69.7,59.61,42.48,43.0,72.02,0,13,0,0,6,25,2,0,6,0,23,15,0,40,31,0,3,1,20,00:01:32,00:00:00,0:01:29
55,56,62.5,45.4,28.42,35.0,44.83,39.0,69.7,59.61,42.48,43.0,72.02,0,13,0,0,6,25,2,0,6,0,23,16,0,40,32,0,3,1,20,00:01:30,00:00:00,0:01:27
56,57,62.5,45.4,28.42,35.0,44.83,39.0,69.7,59.61,42.48,43.0,72.02,0,14,0,0,6,26,2,0,6,0,24,16,0,41,33,0,3,1,20,00:01:30,00:00:00,0:01:27
57,58,62.5,45.4,28.42,35.0,44.83,39.0,69.7,59.61,42.48,43.0,72.02,0,14,0,0,6,27,2,0,6,0,25,16,0,42,33,0,3,1,21,00:01:37,00:00:00,0:01:34
58,59,62.5,45.4,28.42,35.0,44.83,39.0,69.7,59.61,42.48,43.0,72.02,0,14,0,0,6,27,2,0,6,0,25,17,0,42,33,0,3,1,22,00:01:30,00:00:00,0:01:26
59,60,62.5,45.4,28.42,35.0,44.83,39.0,69.7,59.61,42.48,43.0,72.02,0,14,0,0,6,27,2,0,6,0,26,17,0,43,34,0,3,1,22,00:01:39,00:00:00,0:01:36
60,61,62.5,45.4,28.42,35.0,44.83,39.0,69.7,59.61,42.48,43.0,72.02,0,15,0,0,6,27,2,0,6,0,27,17,0,44,35,0,3,1,22,00:01:29,00:00:00,0:01:26
61,62,62.5,45.4,28.42,35.0,44.83,39.0,69.7,59.61,42.48,43.0,72.02,0,15,0,0,6,27,2,0,6,0,27,18,0,44,36,0,3,1,22,00:01:31,00:00:00,0:01:28
62,63,62.5,45.4,28.42,35.0,44.83,39.0,69.7,59.61,42.48,43.0,72.02,0,16,0,0,6,27,2,0,6,0,28,18,0,45,37,0,3,1,22,00:01:31,00:00:00,0:01:27
63,64,62.5,45.4,28.42,35.0,44.83,39.0,69.7,59.61,42.48,43.0,72.02,0,17,0,0,6,28,2,0,7,0,29,18,0,46,37,0,3,1,23,00:01:30,00:00:00,0:01:26
