run_nr,nr_inputs,chromium_reject-firefox_reject,chromium_success-firefox_success
0,1,1,0
1,2,2,0
2,3,2,1.0
3,4,3,1.0
4,5,3,2.0
5,6,3,3.0
6,7,4,3.0
7,8,4,4.0
8,9,5,4.0
9,10,5,5.0
10,11,5,6.0
11,12,5,7.0
12,13,5,8.0
13,14,6,8.0
14,15,6,9.0
15,16,7,9.0
16,17,7,10.0
17,18,8,10.0
18,19,9,10.0
19,20,10,10.0
20,21,10,11.0
21,22,11,11.0
22,23,12,11.0
23,24,12,12.0
24,25,12,13.0
25,26,13,13.0
26,27,14,13.0
27,28,14,14.0
28,29,15,14.0
29,30,15,15.0
30,31,16,15.0
31,32,17,15.0
32,33,18,15.0
33,34,18,16.0
34,35,19,16.0
35,36,20,16.0
36,37,21,16.0
37,38,21,17.0
38,39,22,17.0
39,40,22,18.0
40,41,22,19.0
41,42,22,20.0
42,43,22,21.0
43,44,22,22.0
44,45,23,22.0
45,46,23,23.0
46,47,24,23.0
47,48,25,23.0
48,49,26,23.0
49,50,27,23.0
50,51,27,24.0
51,52,27,25.0
52,53,28,25.0
53,54,29,25.0
54,55,30,25.0
55,56,31,25.0
56,57,32,25.0
57,58,33,25.0
58,59,34,25.0
59,60,34,26.0
60,61,34,27.0
61,62,35,27.0
62,63,35,28.0
63,64,36,28.0
64,65,37,28.0
65,66,38,28.0
66,67,39,28.0
67,68,39,29.0
68,69,40,29.0
69,70,40,30.0
70,71,41,30.0
71,72,42,30.0
72,73,43,30.0
73,74,44,30.0
74,75,45,30.0
75,76,46,30.0
76,77,47,30.0
77,78,48,30.0
78,79,48,31.0
79,80,48,32.0
80,81,48,33.0
81,82,48,34.0
82,83,49,34.0
83,84,50,34.0
84,85,50,35.0
85,86,51,35.0
86,87,51,36.0
87,88,52,36.0
88,89,52,37.0
89,90,52,38.0
90,91,53,38.0
91,92,53,39.0
92,93,53,40.0
93,94,54,40.0
94,95,55,40.0
95,96,55,41.0
96,97,55,42.0
97,98,56,42.0
98,99,56,43.0
99,100,57,43.0
