run_nr,nr-inputs,firefox-cov,c-cov,javascripturijs-cov,cpp-cov,php-cov,java-cov,go-cov,javascriptwhatwg-url-cov,chromium-cov,python-cov,ruby-cov,firefox-exceptions,C-exceptions,JavaScripturijs-exceptions,Cpp-exceptions,PHP-exceptions,Java-exceptions,Go-exceptions,JavaScriptwhatwg-url-exceptions,chromium-exceptions,Python-exceptions,Ruby-exceptions,eq-success-result,eq-fail-result,neq-result,b-eq-success-result,b-eq-fail-result,b-eq-component-fail-result,b-neq-component-fail-result,b-neq-result,full_execution_time,prep_time,fuzzing_time
0,1,48.1,18.0,16.72,8.8,34.48,23.0,68.5,11.92,13.53,31.0,63.21,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,00:01:31,00:00:00,0:01:28
1,2,48.1,18.0,16.72,8.8,34.48,23.0,68.5,11.92,13.53,31.0,63.21,2,2,0,0,2,2,0,2,2,0,2,0,0,2,0,2,0,0,0,00:01:31,00:00:00,0:01:27
2,3,48.1,23.5,17.33,16.0,41.38,36.0,68.5,29.51,13.53,32.0,67.88,2,2,0,0,2,3,0,2,2,0,2,0,0,3,1,2,0,0,0,00:01:29,00:00:00,0:01:26
3,4,48.1,23.6,17.33,16.0,41.38,36.0,68.5,29.51,13.53,32.0,67.88,3,2,0,0,2,4,0,3,3,0,3,0,0,4,1,3,0,0,0,00:01:30,00:00:00,0:01:27
4,5,48.1,23.7,17.33,16.0,41.38,36.0,68.5,29.81,13.53,32.0,67.88,3,3,0,0,3,5,0,4,3,0,4,0,0,5,2,3,0,0,0,00:01:32,00:00:00,0:01:29
5,6,48.1,24.0,17.33,16.0,41.38,36.0,70.0,30.1,13.53,32.0,67.88,3,4,0,0,4,6,1,5,3,0,5,0,0,6,3,3,0,0,0,00:01:29,00:00:00,0:01:25
6,7,48.1,24.0,17.33,16.0,41.38,36.0,70.0,30.1,13.53,32.0,67.88,4,4,0,0,4,7,1,6,4,0,6,0,0,7,3,4,0,0,0,00:01:32,00:00:00,0:01:29
7,8,48.1,24.0,17.33,16.0,41.38,36.0,70.0,30.85,13.53,32.0,67.88,4,5,0,0,5,8,1,7,4,0,7,0,0,8,4,4,0,0,0,00:01:31,00:00:00,0:01:27
8,9,48.1,28.6,17.94,16.0,42.24,36.0,70.0,30.85,13.72,32.0,68.91,5,5,0,0,5,9,1,8,5,0,7,0,0,9,4,5,0,0,0,00:01:26,00:00:00,0:01:23
9,10,48.1,28.6,17.94,16.0,42.24,36.0,70.0,30.85,13.72,32.0,68.91,5,5,0,0,5,10,1,8,5,0,7,0,0,10,5,5,0,0,0,00:01:28,00:00:00,0:01:25
10,11,48.1,28.6,17.94,16.0,42.24,36.0,70.0,31.0,13.72,32.0,68.91,5,5,0,0,5,11,1,8,5,0,7,0,0,11,6,5,0,0,0,00:01:31,00:00:00,0:01:28
11,12,48.1,28.6,17.94,16.0,42.24,36.0,70.0,31.0,13.72,32.0,68.91,5,6,0,0,6,12,1,9,5,0,8,0,0,12,7,5,0,0,0,00:01:29,00:00:00,0:01:26
12,13,48.1,28.6,17.94,16.0,42.24,36.0,70.0,31.0,13.72,32.0,68.91,5,7,0,0,7,13,1,10,5,0,9,0,0,13,8,5,0,0,0,00:01:31,00:00:00,0:01:28
13,14,48.1,29.7,17.94,16.0,42.24,36.0,70.0,31.0,13.72,32.0,68.91,6,7,0,0,7,14,1,11,6,0,10,0,0,14,8,6,0,0,0,00:01:25,00:00:00,0:01:22
14,15,48.1,29.7,17.94,16.0,42.24,36.0,70.0,31.0,13.72,32.0,68.91,6,8,0,0,8,15,1,12,6,0,11,0,0,15,9,6,0,0,0,00:01:29,00:00:00,0:01:26
15,16,48.1,29.7,17.94,16.0,42.24,36.0,70.0,31.0,13.72,32.0,68.91,7,9,0,0,9,16,1,13,7,0,12,0,0,16,9,7,0,0,0,00:01:32,00:00:00,0:01:29
16,17,48.1,29.7,17.94,16.0,42.24,36.0,70.0,31.0,13.72,32.0,68.91,7,9,0,0,9,17,1,13,7,0,12,0,0,17,10,7,0,0,0,00:01:27,00:00:00,0:01:24
17,18,48.1,29.7,17.94,16.0,42.24,36.0,70.0,31.0,13.72,32.0,68.91,8,9,0,0,9,18,1,14,8,0,13,0,0,18,10,8,0,0,0,00:01:33,00:00:00,0:01:30
18,19,48.1,30.0,17.94,16.0,42.24,36.0,70.0,31.0,13.72,32.0,68.91,9,10,0,0,9,19,1,15,9,0,14,0,0,19,10,9,0,0,0,00:01:27,00:00:00,0:01:24
19,20,48.1,30.0,17.94,16.0,42.24,36.0,70.0,31.0,13.72,32.0,68.91,10,11,0,0,10,20,1,16,10,0,15,0,0,20,10,10,0,0,0,00:01:29,00:00:00,0:01:26
20,21,48.1,30.0,17.94,16.0,42.24,36.0,70.0,31.0,13.72,32.0,68.91,10,11,0,0,10,21,1,16,10,0,15,0,0,21,11,10,0,0,0,00:01:29,00:00:00,0:01:25
21,22,48.1,30.0,17.94,16.0,42.24,36.0,70.0,31.0,13.72,32.0,68.91,11,12,0,0,11,22,1,17,11,0,16,0,0,22,11,11,0,0,0,00:01:31,00:00:00,0:01:28
22,23,48.1,30.0,17.94,16.0,42.24,36.0,70.0,31.0,13.72,32.0,68.91,12,13,0,0,12,23,1,18,12,0,17,0,0,23,11,12,0,0,0,00:01:30,00:00:00,0:01:27
23,24,48.1,30.0,17.94,16.0,42.24,36.0,70.0,31.0,13.72,32.0,68.91,12,14,0,0,13,24,1,19,12,0,18,0,0,24,12,12,0,0,0,00:01:32,00:00:00,0:01:29
24,25,48.1,30.0,17.94,16.0,42.24,36.0,70.0,31.0,13.72,32.0,68.91,12,15,0,0,14,25,1,20,12,0,19,0,0,25,13,12,0,0,0,00:01:29,00:00:00,0:01:26
25,26,48.1,30.0,17.94,16.0,42.24,36.0,70.0,31.0,13.72,32.0,68.91,13,15,0,0,14,26,1,21,13,0,20,0,0,26,13,13,0,0,0,00:01:28,00:00:00,0:01:25
26,27,48.1,30.0,17.94,16.0,42.24,36.0,70.0,31.0,13.72,32.0,68.91,14,15,0,0,14,27,1,22,14,0,21,0,0,27,13,14,0,0,0,00:01:31,00:00:00,0:01:28
27,28,48.1,30.0,17.94,16.0,42.24,36.0,70.0,31.0,13.72,32.0,68.91,14,15,0,0,14,28,1,22,14,0,21,0,0,28,14,14,0,0,0,00:01:31,00:00:00,0:01:28
28,29,48.1,30.0,17.94,16.0,42.24,36.0,70.0,31.0,13.72,32.0,68.91,15,16,0,0,15,29,1,23,15,0,22,0,0,29,14,15,0,0,0,00:01:30,00:00:00,0:01:27
29,30,48.1,34.1,17.94,17.6,43.1,36.0,70.0,31.45,13.72,32.0,68.91,15,16,0,0,15,30,1,24,15,0,22,0,0,30,15,15,0,0,0,00:01:28,00:00:00,0:01:25
30,31,48.1,38.3,17.94,17.6,43.97,36.0,70.0,31.45,13.72,32.0,68.91,16,16,0,0,15,31,1,25,16,0,23,0,0,31,15,16,0,0,0,00:01:30,00:00:00,0:01:27
31,32,48.1,38.3,17.94,17.6,43.97,36.0,70.0,31.45,13.72,32.0,68.91,17,16,0,0,15,32,1,26,17,0,24,0,0,32,15,17,0,0,0,00:01:29,00:00:00,0:01:26
32,33,48.1,38.3,17.94,17.6,43.97,36.0,70.0,31.45,13.72,32.0,68.91,18,16,0,0,15,33,1,27,18,0,25,0,0,33,15,18,0,0,0,00:01:29,00:00:00,0:01:26
33,34,48.1,40.9,17.94,17.6,56.03,36.0,70.0,32.19,13.72,32.0,68.91,18,16,0,0,16,34,1,27,18,0,25,0,0,34,16,18,0,0,0,00:01:26,00:00:00,0:01:23
34,35,48.1,40.9,17.94,17.6,56.03,36.0,70.0,32.19,13.72,32.0,68.91,19,16,0,0,16,35,1,28,19,0,26,0,0,35,16,19,0,0,0,00:01:36,00:00:00,0:01:33
35,36,48.1,40.9,17.94,17.6,56.03,36.0,70.0,32.19,13.72,32.0,68.91,20,16,0,0,16,36,1,29,20,0,27,0,0,36,16,20,0,0,0,00:01:37,00:00:00,0:01:34
36,37,48.1,40.9,17.94,17.6,56.03,36.0,70.0,32.19,13.72,32.0,68.91,21,16,0,0,16,37,1,30,21,0,27,0,0,37,16,21,0,0,0,00:01:39,00:00:00,0:01:36
37,38,48.1,40.9,17.94,17.6,56.03,36.0,70.0,32.19,13.72,32.0,68.91,21,17,0,0,17,38,1,31,21,0,28,0,0,38,17,21,0,0,0,00:01:37,00:00:00,0:01:34
38,39,48.1,40.9,17.94,17.6,56.03,36.0,70.0,32.19,13.72,32.0,68.91,22,18,0,0,18,39,1,32,22,0,29,0,0,39,17,22,0,0,0,00:01:40,00:00:00,0:01:37
39,40,48.1,40.9,17.94,17.6,56.03,36.0,70.0,32.19,13.72,32.0,68.91,22,19,0,0,19,40,1,33,22,0,30,0,0,40,18,22,0,0,0,00:01:53,00:00:00,0:01:50
